"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-CE-20230002322416-87397","CE-20230002322416-87397-2023-02-02T04:02:25.779Z","CE-20230002322416","","","active","","2.80","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322417-87397","CE-20230002322417-87397-2023-02-02T04:02:25.794Z","CE-20230002322417","","","active","","7.26","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322418-87397","CE-20230002322418-87397-2023-02-02T04:02:25.810Z","CE-20230002322418","","","active","","4.70","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322419-87397","CE-20230002322419-87397-2023-02-02T04:02:25.826Z","CE-20230002322419","","","active","","4.70","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322420-87397","CE-20230002322420-87397-2023-02-02T04:02:25.843Z","CE-20230002322420","","","active","","0.94","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322421-87397","CE-20230002322421-87397-2023-02-02T04:02:25.860Z","CE-20230002322421","","","active","","26.97","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322422-87397","CE-20230002322422-87397-2023-02-02T04:02:25.885Z","CE-20230002322422","","","active","","1.34","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322423-87397","CE-20230002322423-87397-2023-02-02T04:02:25.903Z","CE-20230002322423","","","active","","2.82","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322424-87397","CE-20230002322424-87397-2023-02-02T04:02:25.921Z","CE-20230002322424","","","active","","5.04","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322425-87397","CE-20230002322425-87397-2023-02-02T04:02:25.945Z","CE-20230002322425","","","active","","32.93","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322428-87397","CE-20230002322428-87397-2023-02-02T04:02:26.004Z","CE-20230002322428","","","active","","5.04","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322429-87397","CE-20230002322429-87397-2023-02-02T04:02:26.018Z","CE-20230002322429","","","active","","3.36","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322430-87397","CE-20230002322430-87397-2023-02-02T04:02:26.043Z","CE-20230002322430","","","active","","3.36","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322431-87397","CE-20230002322431-87397-2023-02-02T04:02:26.069Z","CE-20230002322431","","","active","","6.32","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322432-87397","CE-20230002322432-87397-2023-02-02T04:02:26.093Z","CE-20230002322432","","","active","","53.31","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002325212-131684","CE-20230002325212-131684-2023-02-02T04:04:42.059Z","CE-20230002325212","","","active","","28.00","USD","","","","","","","",""
